subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.02,F,Polka_ls
first,mc91_98,Pos,0.04,F,Polka_ls
first,pldi082_unbounded1,Pos,0.26,F,Polka_ls
first,seq-len,Pos,1.07,F,Polka_ls
first,addition,Pos,0.09,T,Polka_ls
first,inductive5-2,Pos,0.04,F,Polka_ls
first,substring2,Pos,0.14,T,Polka_ls
first,svd,Pos,7.07,T,Polka_ls
first,inductive,Pos,0.12,F,Polka_ls
first,sum4,Pos,0.02,F,Polka_ls
first,enc-zip3,Pos,0.05,T,Polka_ls
first,gcd,Pos,0.13,F,Polka_ls
first,inductive1-3,Pos,0.05,T,Polka_ls
first,enc-zip_map,Pos,0.11,T,Polka_ls
first,enc-zip,Pos,0.05,F,Polka_ls
first,xyz,Pos,0.43,F,Polka_ls
first,recHanoi03,Pos,0.02,T,Polka_ls
first,up_down_stair,Pos,0.71,T,Polka_ls
first,seq-len1,Pos,1.55,F,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.06,F,Polka_ls
first,copy_intro,Pos,0.02,T,Polka_ls
first,mc91_99,Pos,0.04,F,Polka_ls
first,for_bounded_loop1,Pos,0.57,T,Polka_ls
first,enc-rev_accum,Pos,0.04,T,Polka_ls
first,inductive1-2,Pos,0.05,T,Polka_ls
first,xy10,Pos,0.08,T,Polka_ls
first,gulwani_cegar1,Pos,0.19,T,Polka_ls
first,hanoi,Pos,0.47,F,Polka_ls
first,inductive4-1,Pos,0.07,F,Polka_ls
first,xy4,Pos,0.1,F,Polka_ls
first,eq,Pos,0.65,T,Polka_ls
first,nested_loop,Pos,0.9,T,Polka_ls
first,mult_twice,Pos,0.09,F,Polka_ls
first,mc91,Pos,0.03,F,Polka_ls
first,inductive4,Pos,0.07,F,Polka_ls
first,sum_intro,Pos,0.03,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,0.57,F,Polka_ls
first,enc-zip_map2,Pos,0.1,F,Polka_ls
first,mult,Pos,0.04,F,Polka_ls
first,is_prime,Pos,0.58,F,Polka_ls
first,map_map,Pos,0.02,T,Polka_ls
first,ack,Pos,0.2,F,Polka_ls
first,inductive3,Pos,0.01,T,Polka_ls
first,sum6,Pos,0.02,F,Polka_ls
first,inductive2,Pos,0.01,T,Polka_ls
first,inductivea,Pos,0.08,T,Polka_ls
first,substring1,Pos,0.12,T,Polka_ls
first,inductive3-2,Pos,0.03,T,Polka_ls
first,odd_even,Pos,0.06,F,Polka_ls
first,fib,Pos,0.02,T,Polka_ls
first,xyz2,Pos,0.41,T,Polka_ls
first,gib,Pos,0.23,F,Polka_ls
first,pldi082_unbounded2,Pos,0.05,T,Polka_ls
first,inductive5,Pos,0.01,T,Polka_ls
first,xy0,Pos,0.03,T,Polka_ls
first,prog2,Pos,0.02,T,Polka_ls
first,enc-rev_append,Pos,0.06,T,Polka_ls
first,flow,Pos,0.0,T,Polka_ls
first,inductive3-3,Pos,0.01,T,Polka_ls
first,gib2,Pos,0.14,T,Polka_ls
first,inductive6,Pos,0.01,T,Polka_ls
first,half,Pos,0.07,F,Polka_ls
first,up2,Pos,0.25,F,Polka_ls
first,sum2,Pos,0.02,F,Polka_ls
first,01_ic3,Pos,0.02,T,Polka_ls
first,mc91_95,Pos,0.04,F,Polka_ls
first,map,Pos,0.02,T,Polka_ls
first,enc-zipmap,Pos,0.1,F,Polka_ls
first,lock,Pos,0.01,F,Polka_ls
first,sum,Pos,0.02,T,Polka_ls
array,a-reverse,Pos,0.22,T,Polka_ls
array,bcopy,Pos,0.33,T,Polka_ls
array,a-split,Pos,1.56,T,Polka_ls
array,a-mapi,Pos,0.61,F,Polka_ls
array,a-iter,Pos,0.19,T,Polka_ls
array,a-dropn,Pos,2.07,T,Polka_ls
array,a-sub,Pos,0.92,T,Polka_ls
array,a-append,Pos,1.23,F,Polka_ls
array,a-init2,Pos,0.13,F,Polka_ls
array,a-init1,Pos,0.22,F,Polka_ls
array,a-map,Pos,0.54,F,Polka_ls
array,a-dotprod,Pos,0.44,T,Polka_ls
array,a-copy-print,Pos,0.46,T,Polka_ls
high,app-nonrec,Pos,0.01,T,Polka_ls
high,exc-simple,Pos,0.01,T,Polka_ls
high,kmp,Pos,2.41,F,Polka_ls
high,repeat,Pos,0.09,T,Polka_ls
high,max,Pos,0.05,F,Polka_ls
high,hrec,Pos,0.06,T,Polka_ls
high,bcopy,Pos,0.2,T,Polka_ls
high,fact_exn,Pos,0.03,T,Polka_ls
high,intro-ord3,Pos,0.29,T,Polka_ls
high,apply-cr,Pos,0.02,T,Polka_ls
high,twice,Pos,0.03,T,Polka_ls
high,foldr,Pos,0.59,T,Polka_ls
high,flip_twice_2,Pos,0.1,F,Polka_ls
high,dotprod3,Pos,0.38,F,Polka_ls
