subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_st
first,sum3,Pos,0.02,F,Polka_st
first,mc91_98,Pos,0.04,F,Polka_st
first,pldi082_unbounded1,Pos,0.25,F,Polka_st
first,seq-len,Pos,0.92,F,Polka_st
first,addition,Pos,0.09,T,Polka_st
first,inductive5-2,Pos,0.04,F,Polka_st
first,substring2,Pos,0.14,T,Polka_st
first,svd,Pos,6.96,T,Polka_st
first,inductive,Pos,0.11,F,Polka_st
first,sum4,Pos,0.02,F,Polka_st
first,enc-zip3,Pos,0.05,T,Polka_st
first,gcd,Pos,0.12,F,Polka_st
first,inductive1-3,Pos,0.05,T,Polka_st
first,enc-zip_map,Pos,0.1,T,Polka_st
first,enc-zip,Pos,0.05,F,Polka_st
first,xyz,Pos,0.39,F,Polka_st
first,recHanoi03,Pos,0.02,T,Polka_st
first,up_down_stair,Pos,0.61,T,Polka_st
first,seq-len1,Pos,1.42,F,Polka_st
first,inductive6-3,Pos,0.01,F,Polka_st
first,enc-zip4,Pos,0.06,F,Polka_st
first,copy_intro,Pos,0.02,T,Polka_st
first,mc91_99,Pos,0.03,F,Polka_st
first,for_bounded_loop1,Pos,0.54,T,Polka_st
first,enc-rev_accum,Pos,0.03,T,Polka_st
first,inductive1-2,Pos,0.05,T,Polka_st
first,xy10,Pos,0.07,T,Polka_st
first,gulwani_cegar1,Pos,0.2,T,Polka_st
first,hanoi,Pos,0.47,F,Polka_st
first,inductive4-1,Pos,0.06,F,Polka_st
first,xy4,Pos,0.09,F,Polka_st
first,eq,Pos,0.69,T,Polka_st
first,nested_loop,Pos,0.99,T,Polka_st
first,mult_twice,Pos,0.08,F,Polka_st
first,mc91,Pos,0.03,F,Polka_st
first,inductive4,Pos,0.07,F,Polka_st
first,sum_intro,Pos,0.03,T,Polka_st
first,inductive6-2,Pos,0.01,T,Polka_st
first,file,Pos,0.63,F,Polka_st
first,enc-zip_map2,Pos,0.1,F,Polka_st
first,mult,Pos,0.04,F,Polka_st
first,is_prime,Pos,0.57,F,Polka_st
first,map_map,Pos,0.02,T,Polka_st
first,ack,Pos,0.17,F,Polka_st
first,inductive3,Pos,0.01,T,Polka_st
first,sum6,Pos,0.02,F,Polka_st
first,inductive2,Pos,0.01,T,Polka_st
first,inductivea,Pos,0.08,T,Polka_st
first,substring1,Pos,0.12,T,Polka_st
first,inductive3-2,Pos,0.03,T,Polka_st
first,odd_even,Pos,0.06,F,Polka_st
first,fib,Pos,0.02,T,Polka_st
first,xyz2,Pos,0.39,T,Polka_st
first,gib,Pos,0.22,F,Polka_st
first,pldi082_unbounded2,Pos,0.05,T,Polka_st
first,inductive5,Pos,0.01,T,Polka_st
first,xy0,Pos,0.03,T,Polka_st
first,prog2,Pos,0.02,T,Polka_st
first,enc-rev_append,Pos,0.06,T,Polka_st
first,flow,Pos,0.0,T,Polka_st
first,inductive3-3,Pos,0.01,T,Polka_st
first,gib2,Pos,0.14,T,Polka_st
first,inductive6,Pos,0.01,T,Polka_st
first,half,Pos,0.07,F,Polka_st
first,up2,Pos,0.24,F,Polka_st
first,sum2,Pos,0.02,F,Polka_st
first,01_ic3,Pos,0.02,T,Polka_st
first,mc91_95,Pos,0.04,F,Polka_st
first,map,Pos,0.02,T,Polka_st
first,enc-zipmap,Pos,0.1,F,Polka_st
first,lock,Pos,0.01,F,Polka_st
first,sum,Pos,0.02,T,Polka_st
array,a-reverse,Pos,0.21,T,Polka_st
array,bcopy,Pos,0.3,T,Polka_st
array,a-split,Pos,1.57,T,Polka_st
array,a-mapi,Pos,0.64,F,Polka_st
array,a-iter,Pos,0.19,T,Polka_st
array,a-dropn,Pos,2.41,T,Polka_st
array,a-sub,Pos,0.94,T,Polka_st
array,a-append,Pos,1.24,F,Polka_st
array,a-init2,Pos,0.12,F,Polka_st
array,a-init1,Pos,0.22,F,Polka_st
array,a-map,Pos,0.58,F,Polka_st
array,a-dotprod,Pos,0.42,T,Polka_st
array,a-copy-print,Pos,0.45,T,Polka_st
high,app-nonrec,Pos,0.01,T,Polka_st
high,exc-simple,Pos,0.01,T,Polka_st
high,kmp,Pos,2.25,F,Polka_st
high,repeat,Pos,0.09,T,Polka_st
high,max,Pos,0.05,F,Polka_st
high,hrec,Pos,0.05,T,Polka_st
high,bcopy,Pos,0.19,T,Polka_st
high,fact_exn,Pos,0.03,T,Polka_st
high,intro-ord3,Pos,0.35,T,Polka_st
high,apply-cr,Pos,0.02,T,Polka_st
high,twice,Pos,0.03,T,Polka_st
high,foldr,Pos,0.55,T,Polka_st
high,flip_twice_2,Pos,0.1,F,Polka_st
high,dotprod3,Pos,0.42,F,Polka_st
high,map_2,Pos,0.23,T,Polka_st
high,inc3,Pos,0.09,F,Polka_st
high,recursive,Pos,0.05,T,Polka_st
high,call_back,Pos,0.01,T,Polka_st
high,mixed_id,Pos,0.01,T,Polka_st
high,dotprod4,Pos,0.51,F,Polka_st
high,bsearch,Pos,0.43,T,Polka_st
high,intro-ord2,Pos,0.07,T,Polka_st
high,apply_twice,Pos,0.04,T,Polka_st
high,intro1,Pos,0.01,T,Polka_st
high,array_init,Pos,0.3,F,Polka_st
high,neg2,Pos,0.03,T,Polka_st
high,exc-fact,Pos,0.04,T,Polka_st
high,bcopy5,Pos,0.65,F,Polka_st
high,sum_cps,Pos,0.04,T,Polka_st
high,a-max,Pos,0.65,F,Polka_st
high,foldl,Pos,0.29,T,Polka_st
high,bcopy2,Pos,0.31,F,Polka_st
high,queen,Pos,2.33,T,Polka_st
high,bcopy3,Pos,0.21,F,Polka_st
high,intro3,Pos,0.01,T,Polka_st
high,dotprod5,Pos,0.64,F,Polka_st
high,dotprod,Pos,0.57,T,Polka_st
high,inc4,Pos,0.31,F,Polka_st
high,flip_twice_1,Pos,0.58,T,Polka_st
high,hors,Pos,0.07,T,Polka_st
high,app-lin-ord3,Pos,0.24,T,Polka_st
high,repeat4,Pos,0.05,T,Polka_st
high,neg1,Pos,0.05,F,Polka_st
high,enc-zip_unzip,Pos,0.39,F,Polka_st
