subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.08,F,Polka_ls
first,mc91_98,Pos,0.17,F,Polka_ls
first,pldi082_unbounded1,Pos,0.95,T,Polka_ls
first,seq-len,Pos,7.03,F,Polka_ls
first,addition,Pos,0.25,T,Polka_ls
first,inductive5-2,Pos,0.05,T,Polka_ls
first,substring2,Pos,0.43,T,Polka_ls
first,svd,Pos,60.35,T,Polka_ls
first,sum4,Pos,0.08,F,Polka_ls
first,enc-zip3,Pos,0.22,T,Polka_ls
first,gcd,Pos,0.44,T,Polka_ls
first,inductive1-3,Pos,0.31,T,Polka_ls
first,enc-zip_map,Pos,0.41,T,Polka_ls
first,enc-zip,Pos,0.21,F,Polka_ls
first,xyz,Pos,1.73,T,Polka_ls
first,recHanoi03,Pos,0.07,T,Polka_ls
first,up_down_stair,Pos,3.53,T,Polka_ls
first,seq-len1,Pos,6.98,T,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.22,F,Polka_ls
first,copy_intro,Pos,0.13,T,Polka_ls
first,mc91_99,Pos,0.18,F,Polka_ls
first,for_bounded_loop1,Pos,1.32,T,Polka_ls
first,enc-rev_accum,Pos,0.15,T,Polka_ls
first,inductive1-2,Pos,0.31,T,Polka_ls
first,xy10,Pos,0.4,T,Polka_ls
first,gulwani_cegar1,Pos,0.73,T,Polka_ls
first,hanoi,Pos,2.2,F,Polka_ls
first,inductive4-1,Pos,0.52,T,Polka_ls
first,xy4,Pos,0.42,T,Polka_ls
first,eq,Pos,5.34,T,Polka_ls
first,nested_loop,Pos,timeout,ER,Polka_ls
first,mult_twice,Pos,0.33,F,Polka_ls
first,mc91,Pos,0.18,T,Polka_ls
first,inductive4,Pos,0.22,T,Polka_ls
first,sum_intro,Pos,0.12,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,1.01,F,Polka_ls
first,enc-zip_map2,Pos,0.39,F,Polka_ls
first,inductive1,Pos,0.71,T,Polka_ls
first,mult,Pos,0.17,T,Polka_ls
first,is_prime,Pos,0.72,F,Polka_ls
first,map_map,Pos,0.14,T,Polka_ls
first,ack,Pos,1.99,T,Polka_ls
first,inductive3,Pos,0.01,T,Polka_ls
first,sum6,Pos,0.09,F,Polka_ls
first,inductive2,Pos,0.02,T,Polka_ls
first,inductivea,Pos,0.29,T,Polka_ls
first,substring1,Pos,0.46,T,Polka_ls
first,inductive3-2,Pos,0.03,T,Polka_ls
first,odd_even,Pos,0.16,F,Polka_ls
first,fib,Pos,0.1,T,Polka_ls
first,xyz2,Pos,1.72,T,Polka_ls
first,gib,Pos,1.11,T,Polka_ls
first,pldi082_unbounded2,Pos,0.16,T,Polka_ls
first,inductive5,Pos,0.02,T,Polka_ls
first,xy0,Pos,0.12,T,Polka_ls
first,prog2,Pos,0.1,T,Polka_ls
first,enc-rev_append,Pos,0.64,T,Polka_ls
first,flow,Pos,0.0,T,Polka_ls
first,inductive3-3,Pos,0.02,T,Polka_ls
first,gib2,Pos,0.89,T,Polka_ls
first,inductive6,Pos,0.01,T,Polka_ls
first,half,Pos,0.68,F,Polka_ls
first,up2,Pos,1.07,T,Polka_ls
first,sum2,Pos,0.07,F,Polka_ls
first,01_ic3,Pos,0.08,T,Polka_ls
first,mc91_95,Pos,0.18,F,Polka_ls
first,map,Pos,0.07,T,Polka_ls
first,enc-zipmap,Pos,0.4,F,Polka_ls
first,lock,Pos,0.01,F,Polka_ls
first,sum,Pos,0.07,T,Polka_ls
array,a-reverse,Pos,0.92,T,Polka_ls
array,bcopy,Pos,1.25,T,Polka_ls
array,a-split,Pos,5.53,T,Polka_ls
array,a-mapi,Pos,2.58,T,Polka_ls
array,a-iter,Pos,0.78,T,Polka_ls
array,a-dropn,Pos,12.06,F,Polka_ls
array,a-sub,Pos,3.58,T,Polka_ls
array,a-append,Pos,4.37,T,Polka_ls
array,a-init2,Pos,0.31,F,Polka_ls
array,a-init1,Pos,0.52,F,Polka_ls
array,a-map,Pos,2.31,T,Polka_ls
array,a-dotprod,Pos,1.98,T,Polka_ls
array,a-copy-print,Pos,2.0,T,Polka_ls
high,app-nonrec,Pos,0.01,T,Polka_ls
high,exc-simple,Pos,0.01,T,Polka_ls
high,kmp,Pos,25.52,T,Polka_ls
high,repeat,Pos,0.47,T,Polka_ls
high,max,Pos,0.09,T,Polka_ls
high,hrec,Pos,1.56,T,Polka_ls
high,bcopy,Pos,0.92,T,Polka_ls
high,fact_exn,Pos,0.08,F,Polka_ls
high,intro-ord3,Pos,0.7,T,Polka_ls
high,apply-cr,Pos,0.1,T,Polka_ls
high,twice,Pos,0.02,T,Polka_ls
high,foldr,Pos,2.45,T,Polka_ls
high,flip_twice_2,Pos,0.1,F,Polka_ls
high,dotprod3,Pos,2.15,F,Polka_ls
high,map_2,Pos,0.68,T,Polka_ls
high,inc3,Pos,0.67,F,Polka_ls
high,recursive,Pos,1.57,T,Polka_ls
high,call_back,Pos,0.01,T,Polka_ls
high,mixed_id,Pos,0.01,T,Polka_ls
