subdir,file name,test class,timing (milseconds),res (true/false)
first,inductive6-2,Pos,0.09,T
first,mc91_99,Pos,0.77,T
first,enc-rev_append-2,Pos,0.12,T
first,gib2,Pos,0.24,T
first,enc-zip3,Pos,timeout,F
first,substring2,Pos,0.47,F
first,half,Pos,timeout,F
first,mult,Pos,0.09,T
first,sum4,Pos,0.1,T
first,fxx,Pos,0.08,T
first,nested_loop,Pos,timeout,F
first,map,Pos,1.45,T
first,enc-zipmap,Pos,9.14,T
first,mc91_98,Pos,0.26,T
first,enc-zip_map2,Pos,8.9,T
first,inductive6,Pos,0.07,T
first,copy_intro,Pos,timeout,F
first,pldi082_unbounded1,Pos,1.43,F
first,inductivea,Pos,1.91,T
first,eq,Pos,timeout,F
first,flow,Pos,0.11,T
first,inductive2,Pos,0.09,T
first,inductive1-3,Pos,0.27,T
first,inductive3,Pos,0.11,T
first,enc-zip_map,Pos,0.41,T
first,inductive1-2,Pos,0.14,T
first,gulwani_cegar1,Pos,0.14,F
first,xyz2,Pos,0.17,F
first,xy10,Pos,0.38,F
first,01_ic3,Pos,0.09,T
first,hanoi,Pos,2.56,T
first,addition,Pos,0.37,T
first,sum,Pos,0.09,T
first,up_down_stair,Pos,timeout,F
first,up2,Pos,timeout,F
first,inductive1-1,Pos,0.54,T
first,mc91_95,Pos,0.65,T
first,inductive4,Pos,0.11,T
first,lock,Pos,0.09,T
first,mc91,Pos,0.77,T
first,xyz,Pos,0.19,F
first,enc-rev_accum,Pos,timeout,F
first,inductive5,Pos,0.11,T
first,seq-len,Pos,0.2,F
first,inductive3-2,Pos,0.11,T
first,pldi082_unbounded2,Pos,0.13,T
first,file,Pos,0.1,T
first,xy4,Pos,0.17,F
first,sum_intro,Pos,0.08,T
first,odd_even,Pos,timeout,F
first,is_prime,Pos,0.17,T
first,for_bounded_loop1,Pos,0.12,T
first,map_map,Pos,0.66,T
first,xy0,Pos,0.1,T
first,prog2,Pos,0.12,T
first,sum3,Pos,0.1,T
first,fib,Pos,8.66,T
first,svd,Pos,0.19,F
first,ack,Pos,0.13,T
first,enc-zip,Pos,timeout,F
first,gcd,Pos,0.17,T
first,sum6,Pos,0.21,T
first,enc-zip4,Pos,0.68,T
first,recHanoi03,Pos,0.09,T
first,enc-rev_append-1,Pos,0.2,T
first,sum2,Pos,0.09,T
first,gib,Pos,0.27,T
first,mult_twice,Pos,0.38,T
first,seq-len1,Pos,1.45,T
first,substring1,Pos,0.14,F
negative,zip00,Neg,timeout,F
negative,indirectHO01,Neg,0.1,T
negative,xyz2,Neg,0.28,T
negative,xy10,Neg,0.17,T
negative,01_ic3,Neg,0.07,T
negative,ex23,Neg,0.09,T
negative,inductive1-1,Neg,0.41,T
negative,repeat,Neg,0.16,T
negative,ack01false,Neg,0.47,T
negative,xyz,Neg,0.29,T
negative,zip_unzip,Neg,0.32,T
negative,xy4,Neg,0.2,T
negative,compose,Neg,0.07,T
negative,up_down01,Neg,timeout,F
negative,binomial00,Neg,0.09,T
array,a-copy-print,Pos,5.42,T
array,a-split,Pos,timeout,F
array,a-dropn,Pos,timeout,F
array,a-sub,Pos,0.18,F
array,bcopy,Pos,3.05,T
array,a-init1,Pos,timeout,F
array,a-map,Pos,timeout,F
array,a-iter,Pos,timeout,F
array,a-dotprod,Pos,0.09,T
array,a-reverse,Pos,6.33,T
array,a-mapi,Pos,timeout,F
array,a-init2,Pos,4.28,T
array,a-append,Pos,timeout,F
high,map_2,Pos,0.09,T
high,flip_twice_1,Pos,0.71,T
high,fact_exn,Pos,timeout,F
high,inc,Pos,0.12,T
high,intro3,Pos,0.07,T
high,neg1,Pos,0.09,F
high,repeat_order,Pos,0.09,T
high,intro-ord2,Pos,0.1,T
high,foldr,Pos,1.24,F
high,sum_cps,Pos,0.12,T
high,sigma_sum,Pos,timeout,F
high,apply_twice,Pos,0.11,F
high,intro-ord3,Pos,0.09,T
high,intro2,Pos,0.09,T
high,repeat4,Pos,0.45,T
high,hors,Pos,0.09,T
high,repeat,Pos,timeout,F
high,intro1,Pos,0.11,T
high,app-lin-ord3,Pos,0.09,T
high,foldl,Pos,1.52,F
high,hrec,Pos,11.28,T
high,app-nonrec,Pos,0.07,T
high,app-lin-ord2,Pos,0.07,T
high,max,Pos,0.11,T
high,apply,Pos,0.67,F
high,twice,Pos,0.1,T
high,neg2,Pos,0.12,T
high,exception,Pos,0.1,T
high,power,Pos,0.09,T
high,mixed_id,Pos,0.07,T
high,app-succ,Pos,0.1,T
high,call_back,Pos,0.07,T
high,flip_twice_2,Pos,0.08,T
high,exc-fact,Pos,timeout,F
high,multi_compose,Pos,0.07,F
high,recursive,Pos,0.09,T
high,mc91_cps,Pos,0.17,F
high,exc-simple,Pos,0.08,T
