subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.12,T,Polka_ls
first,mc91_98,Pos,0.24,T,Polka_ls
first,pldi082_unbounded1,Pos,1.08,T,Polka_ls
first,seq-len,Pos,8.93,F,Polka_ls
first,addition,Pos,0.37,T,Polka_ls
first,inductive5-2,Pos,0.05,T,Polka_ls
first,substring2,Pos,0.51,T,Polka_ls
first,svd,Pos,62.48,T,Polka_ls
first,inductive,Pos,1.0,T,Polka_ls
first,sum4,Pos,0.13,F,Polka_ls
first,enc-zip3,Pos,0.31,T,Polka_ls
first,gcd,Pos,0.61,T,Polka_ls
first,inductive1-3,Pos,0.42,T,Polka_ls
first,enc-zip_map,Pos,0.54,T,Polka_ls
first,enc-zip,Pos,0.29,F,Polka_ls
first,xyz,Pos,2.35,T,Polka_ls
first,recHanoi03,Pos,0.09,T,Polka_ls
first,up_down_stair,Pos,4.59,T,Polka_ls
first,seq-len1,Pos,8.69,T,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.32,F,Polka_ls
first,copy_intro,Pos,0.2,T,Polka_ls
first,mc91_99,Pos,0.23,T,Polka_ls
first,for_bounded_loop1,Pos,1.55,T,Polka_ls
first,enc-rev_accum,Pos,0.26,T,Polka_ls
first,inductive1-2,Pos,0.41,T,Polka_ls
first,xy10,Pos,0.52,T,Polka_ls
first,gulwani_cegar1,Pos,0.84,T,Polka_ls
first,hanoi,Pos,3.48,F,Polka_ls
first,inductive4-1,Pos,0.64,T,Polka_ls
first,xy4,Pos,0.52,T,Polka_ls
first,eq,Pos,6.91,T,Polka_ls
first,nested_loop,Pos,11.09,T,Polka_ls
first,mult_twice,Pos,0.48,F,Polka_ls
first,mc91,Pos,0.2,T,Polka_ls
first,inductive4,Pos,0.26,T,Polka_ls
first,sum_intro,Pos,0.19,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,1.2,F,Polka_ls
first,enc-zip_map2,Pos,0.52,F,Polka_ls
first,mult,Pos,0.24,T,Polka_ls
first,is_prime,Pos,1.08,T,Polka_ls
first,map_map,Pos,0.2,T,Polka_ls
first,ack,Pos,3.34,T,Polka_ls
first,inductive3,Pos,0.02,T,Polka_ls
first,sum6,Pos,0.15,F,Polka_ls
first,inductive2,Pos,0.02,T,Polka_ls
first,inductivea,Pos,0.41,T,Polka_ls
first,substring1,Pos,0.55,T,Polka_ls
first,inductive3-2,Pos,0.03,T,Polka_ls
first,odd_even,Pos,0.26,F,Polka_ls
first,fib,Pos,0.16,T,Polka_ls
first,xyz2,Pos,2.35,T,Polka_ls
first,gib,Pos,1.36,T,Polka_ls
first,pldi082_unbounded2,Pos,0.16,T,Polka_ls
first,inductive5,Pos,0.02,T,Polka_ls
first,xy0,Pos,0.15,T,Polka_ls
first,prog2,Pos,0.11,T,Polka_ls
first,enc-rev_append,Pos,1.09,T,Polka_ls
first,flow,Pos,0.0,T,Polka_ls
first,inductive3-3,Pos,0.02,T,Polka_ls
first,gib2,Pos,0.96,T,Polka_ls
first,inductive6,Pos,0.01,T,Polka_ls
first,half,Pos,1.13,F,Polka_ls
first,up2,Pos,1.33,T,Polka_ls
first,sum2,Pos,0.11,T,Polka_ls
first,01_ic3,Pos,0.08,T,Polka_ls
first,mc91_95,Pos,0.24,T,Polka_ls
first,map,Pos,0.09,T,Polka_ls
first,enc-zipmap,Pos,0.52,F,Polka_ls
first,lock,Pos,0.01,F,Polka_ls
first,sum,Pos,0.1,T,Polka_ls
array,a-reverse,Pos,1.28,T,Polka_ls
array,bcopy,Pos,1.78,T,Polka_ls
array,a-split,Pos,5.78,T,Polka_ls
array,a-mapi,Pos,3.39,T,Polka_ls
array,a-iter,Pos,1.14,T,Polka_ls
array,a-dropn,Pos,15.24,T,Polka_ls
array,a-sub,Pos,3.68,T,Polka_ls
array,a-append,Pos,4.68,T,Polka_ls
array,a-init2,Pos,0.35,F,Polka_ls
array,a-init1,Pos,0.58,F,Polka_ls
array,a-map,Pos,3.09,T,Polka_ls
array,a-dotprod,Pos,2.11,T,Polka_ls
array,a-copy-print,Pos,2.69,T,Polka_ls
high,app-nonrec,Pos,0.01,T,Polka_ls
high,exc-simple,Pos,0.01,T,Polka_ls
high,kmp,Pos,26.86,T,Polka_ls
high,repeat,Pos,0.71,T,Polka_ls
high,max,Pos,0.09,T,Polka_ls
high,hrec,Pos,2.37,T,Polka_ls
high,bcopy,Pos,1.05,T,Polka_ls
high,fact_exn,Pos,0.08,T,Polka_ls
high,intro-ord3,Pos,0.85,T,Polka_ls
high,apply-cr,Pos,0.16,T,Polka_ls
high,twice,Pos,0.03,T,Polka_ls
high,foldr,Pos,3.72,T,Polka_ls
high,flip_twice_2,Pos,0.1,F,Polka_ls
high,dotprod3,Pos,4.01,T,Polka_ls
high,map_2,Pos,1.04,T,Polka_ls
high,inc3,Pos,1.0,T,Polka_ls
high,recursive,Pos,2.37,T,Polka_ls
high,call_back,Pos,0.01,T,Polka_ls
high,mixed_id,Pos,0.01,T,Polka_ls
high,dotprod4,Pos,4.92,T,Polka_ls
high,bsearch,Pos,1.62,T,Polka_ls
high,intro-ord2,Pos,0.29,T,Polka_ls
high,apply_twice,Pos,0.04,T,Polka_ls
high,intro1,Pos,0.01,T,Polka_ls
high,array_init,Pos,1.48,T,Polka_ls
high,neg2,Pos,0.03,T,Polka_ls
high,exc-fact,Pos,0.09,T,Polka_ls
high,bcopy5,Pos,3.27,T,Polka_ls
high,sum_cps,Pos,0.32,T,Polka_ls
high,a-max,Pos,2.81,T,Polka_ls
high,foldl,Pos,1.57,T,Polka_ls
high,bcopy2,Pos,1.97,T,Polka_ls
high,queen,Pos,203.09,T,Polka_ls
high,bcopy3,Pos,1.01,T,Polka_ls
high,intro3,Pos,0.01,T,Polka_ls
high,dotprod5,Pos,3.26,T,Polka_ls
high,dotprod,Pos,2.51,T,Polka_ls
high,inc4,Pos,3.47,T,Polka_ls
high,flip_twice_1,Pos,0.68,T,Polka_ls
high,hors,Pos,0.31,T,Polka_ls
high,app-lin-ord3,Pos,0.19,T,Polka_ls
high,repeat4,Pos,0.44,T,Polka_ls
high,neg1,Pos,0.06,T,Polka_ls
high,enc-zip_unzip,Pos,2.03,T,Polka_ls
high,app-succ,Pos,0.83,T,Polka_ls
high,intro2,Pos,0.01,T,Polka_ls
high,a-init,Pos,1.79,T,Polka_ls
high,dotprod_lin,Pos,17.06,T,Polka_ls
high,power,Pos,0.75,T,Polka_ls
high,dotprod2,Pos,2.1,T,Polka_ls
high,a-dotprod,Pos,4.79,T,Polka_ls
high,a-copy-print,Pos,5.19,T,Polka_ls
high,app-lin-ord2,Pos,0.05,T,Polka_ls
high,sigma_sum,Pos,0.36,T,Polka_ls
high,repeat_mochi,Pos,0.71,T,Polka_ls
high,multi_compose,Pos,0.09,T,Polka_ls
high,bcopy4,Pos,0.76,T,Polka_ls
high,exception,Pos,0.01,T,Polka_ls
high,repeat_order,Pos,0.69,T,Polka_ls
high,apply,Pos,0.04,T,Polka_ls
