subdir,file name,test class,timing (seconds),res (true/false),domain
first,fxx,Pos,0.01,T,Polka_ls
first,sum3,Pos,0.12,T,Polka_ls
first,mc91_98,Pos,0.25,T,Polka_ls
first,pldi082_unbounded1,Pos,1.26,T,Polka_ls
first,seq-len,Pos,9.32,F,Polka_ls
first,addition,Pos,0.39,T,Polka_ls
first,inductive5-2,Pos,0.05,T,Polka_ls
first,substring2,Pos,0.56,T,Polka_ls
first,svd,Pos,81.38,T,Polka_ls
first,inductive,Pos,0.97,T,Polka_ls
first,sum4,Pos,0.13,F,Polka_ls
first,enc-zip3,Pos,0.29,T,Polka_ls
first,gcd,Pos,0.63,T,Polka_ls
first,inductive1-3,Pos,0.45,T,Polka_ls
first,enc-zip_map,Pos,0.58,T,Polka_ls
first,enc-zip,Pos,0.32,F,Polka_ls
first,xyz,Pos,2.63,T,Polka_ls
first,recHanoi03,Pos,0.09,T,Polka_ls
first,up_down_stair,Pos,5.04,T,Polka_ls
first,seq-len1,Pos,9.74,T,Polka_ls
first,inductive6-3,Pos,0.01,F,Polka_ls
first,enc-zip4,Pos,0.35,F,Polka_ls
first,copy_intro,Pos,0.2,T,Polka_ls
first,mc91_99,Pos,0.24,T,Polka_ls
first,for_bounded_loop1,Pos,1.67,T,Polka_ls
first,enc-rev_accum,Pos,0.27,T,Polka_ls
first,inductive1-2,Pos,0.45,T,Polka_ls
first,xy10,Pos,0.56,T,Polka_ls
first,gulwani_cegar1,Pos,0.97,T,Polka_ls
first,hanoi,Pos,3.72,F,Polka_ls
first,inductive4-1,Pos,0.71,T,Polka_ls
first,xy4,Pos,0.56,T,Polka_ls
first,eq,Pos,8.76,T,Polka_ls
first,nested_loop,Pos,11.98,T,Polka_ls
first,mult_twice,Pos,0.52,F,Polka_ls
first,mc91,Pos,0.21,T,Polka_ls
first,inductive4,Pos,0.27,T,Polka_ls
first,sum_intro,Pos,0.19,T,Polka_ls
first,inductive6-2,Pos,0.01,T,Polka_ls
first,file,Pos,1.36,F,Polka_ls
first,enc-zip_map2,Pos,0.52,F,Polka_ls
first,mult,Pos,0.26,T,Polka_ls
first,is_prime,Pos,1.14,T,Polka_ls
first,map_map,Pos,0.2,T,Polka_ls
first,ack,Pos,3.72,T,Polka_ls
first,inductive3,Pos,0.01,T,Polka_ls
first,sum6,Pos,0.15,F,Polka_ls
first,inductive2,Pos,0.02,T,Polka_ls
first,inductivea,Pos,0.45,T,Polka_ls
first,substring1,Pos,0.62,T,Polka_ls
first,inductive3-2,Pos,0.03,T,Polka_ls
first,odd_even,Pos,0.27,F,Polka_ls
first,fib,Pos,0.16,T,Polka_ls
first,xyz2,Pos,2.63,T,Polka_ls
first,gib,Pos,1.56,T,Polka_ls
first,pldi082_unbounded2,Pos,0.19,T,Polka_ls
first,inductive5,Pos,0.02,T,Polka_ls
first,xy0,Pos,0.15,T,Polka_ls
first,prog2,Pos,0.12,T,Polka_ls
first,enc-rev_append,Pos,1.14,T,Polka_ls
first,flow,Pos,0.0,T,Polka_ls
first,inductive3-3,Pos,0.02,T,Polka_ls
first,gib2,Pos,1.13,T,Polka_ls
first,inductive6,Pos,0.01,T,Polka_ls
first,half,Pos,1.22,F,Polka_ls
first,up2,Pos,1.53,T,Polka_ls
first,sum2,Pos,0.11,T,Polka_ls
first,01_ic3,Pos,0.09,T,Polka_ls
first,mc91_95,Pos,0.26,T,Polka_ls
first,map,Pos,0.09,T,Polka_ls
first,enc-zipmap,Pos,0.53,F,Polka_ls
first,lock,Pos,0.01,F,Polka_ls
first,sum,Pos,0.1,T,Polka_ls
array,a-reverse,Pos,1.5,T,Polka_ls
array,bcopy,Pos,1.94,T,Polka_ls
array,a-split,Pos,7.89,T,Polka_ls
array,a-mapi,Pos,3.96,T,Polka_ls
array,a-iter,Pos,1.3,T,Polka_ls
array,a-dropn,Pos,22.41,T,Polka_ls
array,a-sub,Pos,4.68,T,Polka_ls
array,a-append,Pos,5.6,T,Polka_ls
array,a-init2,Pos,0.37,F,Polka_ls
array,a-init1,Pos,0.64,F,Polka_ls
array,a-map,Pos,3.69,T,Polka_ls
array,a-dotprod,Pos,2.3,T,Polka_ls
array,a-copy-print,Pos,2.82,T,Polka_ls
high,app-nonrec,Pos,0.01,T,Polka_ls
high,exc-simple,Pos,0.01,T,Polka_ls
high,kmp,Pos,27.5,T,Polka_ls
high,repeat,Pos,0.65,T,Polka_ls
high,max,Pos,0.09,T,Polka_ls
high,hrec,Pos,2.54,T,Polka_ls
high,bcopy,Pos,1.07,T,Polka_ls
high,fact_exn,Pos,0.08,T,Polka_ls
high,intro-ord3,Pos,1.12,T,Polka_ls
high,apply-cr,Pos,0.18,T,Polka_ls
high,twice,Pos,0.03,T,Polka_ls
high,foldr,Pos,4.0,T,Polka_ls
high,flip_twice_2,Pos,0.11,F,Polka_ls
high,dotprod3,Pos,3.93,T,Polka_ls
high,map_2,Pos,1.12,T,Polka_ls
high,inc3,Pos,0.98,T,Polka_ls
high,recursive,Pos,2.42,T,Polka_ls
high,call_back,Pos,0.01,T,Polka_ls
high,mixed_id,Pos,0.01,T,Polka_ls
high,dotprod4,Pos,4.8,T,Polka_ls
high,bsearch,Pos,1.59,T,Polka_ls
high,intro-ord2,Pos,0.33,T,Polka_ls
high,apply_twice,Pos,0.04,T,Polka_ls
high,intro1,Pos,0.01,T,Polka_ls
high,array_init,Pos,1.5,T,Polka_ls
high,neg2,Pos,0.03,T,Polka_ls
high,exc-fact,Pos,0.08,T,Polka_ls
high,bcopy5,Pos,3.27,T,Polka_ls
high,sum_cps,Pos,0.32,T,Polka_ls
high,a-max,Pos,2.71,T,Polka_ls
high,foldl,Pos,1.66,T,Polka_ls
high,bcopy2,Pos,1.96,T,Polka_ls
high,queen,Pos,229.62,T,Polka_ls
high,bcopy3,Pos,0.99,T,Polka_ls
high,intro3,Pos,0.01,T,Polka_ls
high,dotprod5,Pos,3.27,T,Polka_ls
high,dotprod,Pos,2.77,T,Polka_ls
high,inc4,Pos,3.42,T,Polka_ls
high,flip_twice_1,Pos,0.77,T,Polka_ls
high,hors,Pos,0.34,T,Polka_ls
high,app-lin-ord3,Pos,0.23,T,Polka_ls
high,repeat4,Pos,0.41,T,Polka_ls
high,neg1,Pos,0.06,T,Polka_ls
high,enc-zip_unzip,Pos,2.01,T,Polka_ls
high,app-succ,Pos,1.0,T,Polka_ls
high,intro2,Pos,0.01,T,Polka_ls
high,a-init,Pos,2.21,T,Polka_ls
high,dotprod_lin,Pos,20.81,T,Polka_ls
high,power,Pos,0.79,T,Polka_ls
high,dotprod2,Pos,2.17,T,Polka_ls
high,a-dotprod,Pos,4.82,T,Polka_ls
high,a-copy-print,Pos,5.1,T,Polka_ls
high,app-lin-ord2,Pos,0.05,T,Polka_ls
high,sigma_sum,Pos,0.34,T,Polka_ls
high,repeat_mochi,Pos,0.75,T,Polka_ls
high,multi_compose,Pos,0.1,T,Polka_ls
high,bcopy4,Pos,0.77,T,Polka_ls
high,exception,Pos,0.01,T,Polka_ls
high,repeat_order,Pos,0.74,T,Polka_ls
high,apply,Pos,0.04,T,Polka_ls
